"week_ending_date","number_influenza_positive","avg_viral_load_A"
2025-09-06,26,590808.344539891
2025-08-30,48,598220.88762343
2025-08-23,23,636161.057932928
2025-08-16,20,726327.767735005
2025-08-09,12,713828.467779967
2025-08-02,10,609721.344311005
2025-07-26,17,599393.372108604
2025-07-19,20,653741.743374826
2025-07-12,16,730283.988792042
2025-07-05,24,608044.8309653
2025-06-28,28,626252.256178213
2025-06-21,50,736057.508739994
2025-06-14,54,619651.903475072
2025-06-07,58,638831.770029369
2025-05-31,49,628455.812441767
2025-05-24,59,639865.111607199
2025-05-17,67,692943.710357562
2025-05-10,62,598258.77541749
2025-05-03,81,547980.811016359
2025-04-26,106,613958.636694854
2025-04-19,137,695863.094946622
2025-04-12,164,744065.708780697
2025-04-05,349,961289.974995461
2025-03-29,392,1463503.30475801
2025-03-22,748,2149676.82005245
2025-03-15,1241,3159884.6124393
2025-03-08,1520,5785709.99234259
2025-03-01,1870,8331916.43559991
2025-02-22,2316,11646135.9814734
2025-02-15,3689,17138323.7574556
2025-02-08,5576,30282966.7266338
2025-02-01,5842,30609070.8930737
2025-01-25,4255,27159974.261484
2025-01-18,2921,15404521.1077089
2025-01-11,1742,12081622.509431
2025-01-04,1866,6553074.07305572
2024-12-28,1505,5217222.98317219
2024-12-21,925,3852837.91784824
2024-12-14,468,4635282.96792158
2024-12-07,170,949280.733613465
2024-11-30,142,714897.044188798
2024-11-23,74,637196.41671577
2024-11-16,65,864160.388790123
2024-11-09,87,1162859.26389428
2024-11-02,55,1046439.94703777
2024-10-26,86,1029598.76996941
2024-10-19,35,1186005.66360287
2024-10-12,34,1153151.32906781
2024-10-05,31,1604375.66812752
2024-09-28,34,1376437.91448848
2024-09-21,26,1584481.34263452
2024-09-14,17,1046650.85185697
